,movie,lead
0,Uri: The Surgical Strike,Vicky Kaushal
1,Battalion 609,Vicky Ahuja
2,The Accidental Prime Minister (film),Anupam Kher
3,Why Cheat India,Emraan Hashmi
4,Evening Shadows,Mona Ambegaonkar
5,Soni (film),Geetika Vidya Ohlyan
6,Fraud Saiyaan,Arshad Warsi
7,Bombairiya,Radhika Apte
8,Manikarnika: The Queen of Jhansi,Kangana Ranaut
9,Thackeray (film),Nawazuddin Siddiqui
10,Amavas,Ali Asgar
11,Gully Boy,Ranveer Singh
12,Hum Chaar,Prit Kamani
13,Total Dhamaal,Ajay Devgn
14,Sonchiriya,Sushant Singh Rajput
15,Badla (2019 film),Amitabh Bachchan
16,Mard Ko Dard Nahi Hota,Abhimanyu Dasani
17,Hamid (film),Talha Arshad Reshi
18,Photograph (film),Nawazuddin Siddiqui
19,Risknamaa,Garima Agarwal
20,Mere Pyare Prime Minister,Rasika Agashe
21,22 Yards,Barun Sobti
22,Kesari (film),Akshay Kumar
23,Notebook (2019 film),Zaheer Iqbal
24,Junglee (2019 film),Vidyut Jammwal
25,Gone Kesh,Deepika Amin
26,Albert Pinto Ko Gussa Kyun Aata Hai?,Manav Kaul
27,The Tashkent Files,Naseeruddin Shah
28,Kalank,Varun Dhawan
29,Setters (film),Shreyas Talpade
30,Student of the Year 2,Tiger Shroff
31,PM Narendra Modi,Boman Irani
32,De De Pyaar De,Ajay Devgn
33,India's Most Wanted (film),Arjun Kapoor
34,Yeh Hai India,Gavie Chahal
35,Khamoshi (2019 film),Prabhu Deva
36,Kabir Singh,Shahid Kapoor
37,Article 15 (film),Ayushmann Khurrana
38,One Day: Justice Delivered,Anupam Kher
39,Hume Tumse Pyaar Kitna,Karanvir Bohra
40,Super 30 (film),Hrithik Roshan
41,Family of Thakurganj,Jimmy Sheirgill
42,Batla House,John Abraham
43,Jhootha Kahin Ka,Rishi Kapoor
44,Judgementall Hai Kya,Kangana Ranaut
45,Chicken Curry Law,Natalia Janoszek
46,Arjun Patiala,Diljit Dosanjh
47,Jabariya Jodi,Sidharth Malhotra
48,Pranaam,Rajeev Khandelwal
49,The Sky Is Pink,Zaira Wasim
50,Mission Mangal,Akshay Kumar
51,Saaho,Jacqueline Fernandez
52,Dream Girl (2019 film),Ayushmann Khurrana
53,Section 375,Akshaye Khanna
54,The Zoya Factor (film),Sonam Kapoor
55,Pal Pal Dil Ke Paas,Karan Deol
56,Prassthanam,Sanjay Dutt
57,P Se Pyaar F Se Faraar,Bhavesh Kumar
58,Ghost (2019 film),Sanaya Irani
59,Bala (2019 film),Ayushmann Khurrana
60,Yaaram (2019 film),Siddhanth Kapoor
61,Housefull 4,Akshay Kumar
62,Saand Ki Aankh,Taapsee Pannu
63,Made in China (2019 film),Rajkummar Rao
64,Ujda Chaman,Sunny Singh Nijjar
